Company,Location,Month,Type,Date,Particulars,Voucher Type,Voucher No.,Against Sales Invoice no.,Narration,Quantity,Rate,Value,Gross Total,ledger_id
O-tec,Surat,2025-04,debit note,01/04/2025,SIDDHIVINAYAK WEAVETECH,GST DEBIT NOTE,DN/25-26/1,,,,,,28131.00,a4e100d1-3b6f-4193-876a-c754f1a74552-0000134c
O-tec,Surat,2025-04,debit note,23/04/2025,GOKUL TEX PRINTS PVT. LTD.,GST DEBIT NOTE,DN/25-26/2,HD/HG/25-26/19,,,,,219480.00,a4e100d1-3b6f-4193-876a-c754f1a74552-00000cd3
O-tec,Surat,2025-04,debit note,25/04/2025,AARNAV FASHIONS LIMITED,GST DEBIT NOTE,DN/25-26/3,,,,,,36916.00,a4e100d1-3b6f-4193-876a-c754f1a74552-00000961
O-tec,Surat,2025-05,debit note,31/05/2025,BISHEN DYEING PRINTING & WEAVING MILLS,DEBIT NOTE-194R FOC,DN/194R/2/25-26,,"BEING DEBIT NOTE ISSUED AGAINST FOC INK GIVEN (1560 KG, VALUE= 931600@10%)",,,,93160.00,a4e100d1-3b6f-4193-876a-c754f1a74552-00000aa4
O-tec,Surat,2025-05,debit note,02/05/2025,BAJRANG DIGITAL,GST DEBIT NOTE,DN/25-26/4,,,,,,23947.00,a4e100d1-3b6f-4193-876a-c754f1a74552-00000a61
O-tec,Surat,2025-05,debit note,02/05/2025,RAJLAXMI DIGITAL,GST DEBIT NOTE,DN/25-26/5,,,,,,1062.00,a4e100d1-3b6f-4193-876a-c754f1a74552-0000119e
O-tec,Surat,2025-05,debit note,02/05/2025,SHRUTI FASHIONS PVT. LTD.,GST DEBIT NOTE,DN/25-26/6,,,,,,5310.00,a4e100d1-3b6f-4193-876a-c754f1a74552-00001338
O-tec,Surat,2025-05,debit note,07/05/2025,SIDDHIVINAYAK WEAVETECH,GST DEBIT NOTE,DN/25-26/7,,,,,,63449.00,a4e100d1-3b6f-4193-876a-c754f1a74552-0000134c
O-tec,Surat,2025-05,debit note,08/05/2025,PRINT PALETTE,GST DEBIT NOTE,DN/25-26/8,,,,,,47200.00,a4e100d1-3b6f-4193-876a-c754f1a74552-0000114a
O-tec,Surat,2025-05,debit note,08/05/2025,PRINT PALETTE,GST DEBIT NOTE,DN/25-26/9,,,,,,83755.00,a4e100d1-3b6f-4193-876a-c754f1a74552-0000114a
