Company,Location,Month,Type,Date,Particulars,Voucher Type,Voucher No.,Reference Invoice Number,Narration,Transaction Type,Amount,ledger_id
O-tec,Surat,2025-04,journal,01/04/2025,ANUPAM CREATION PVT. LTD.,Journal,OPENING DIFF,INK/24-25/8923,AS PER ANUPAM LEDGER 851/- TDS -194Q FOR F.Y.2526 BUT AUDIT FIGURES FINALIZED SO TAKE ENTRY IN DISCOUNT,Cr,851.00,a4e100d1-3b6f-4193-876a-c754f1a74552-00000a0d
O-tec,Surat,2025-04,journal,01/04/2025,CHANDRIKA DIGITAL,Journal,a4e100d1-3b6f-4193-876a-c754f1a74552-00019de8,INK/24-25/9093,,Cr,5.00,a4e100d1-3b6f-4193-876a-c754f1a74552-00000af9
O-tec,Surat,2025-04,journal,01/04/2025,MEHFUZA CREATION,Journal,a4e100d1-3b6f-4193-876a-c754f1a74552-00019e21,INK/24-25/9111,,Cr,413.00,a4e100d1-3b6f-4193-876a-c754f1a74552-00000f7e
O-tec,Surat,2025-04,journal,01/04/2025,M R C MILLS PVT LTD,Journal,a4e100d1-3b6f-4193-876a-c754f1a74552-0001a274,8.11.23 Adv,,Dr,6827.00,a4e100d1-3b6f-4193-876a-c754f1a74552-00000faf
O-tec,Surat,2025-04,journal,01/04/2025,M R C MILLS PVT LTD,Journal,a4e100d1-3b6f-4193-876a-c754f1a74552-0001a274,Journal,,Dr,456.00,a4e100d1-3b6f-4193-876a-c754f1a74552-00000faf
O-tec,Surat,2025-04,journal,01/04/2025,M R C MILLS PVT LTD,Journal,a4e100d1-3b6f-4193-876a-c754f1a74552-0001a274,Tcs-Jan,,Dr,2531.00,a4e100d1-3b6f-4193-876a-c754f1a74552-00000faf
O-tec,Surat,2025-04,journal,01/04/2025,SHUKAN DIGITAL,Journal,a4e100d1-3b6f-4193-876a-c754f1a74552-0001dace,TCS-FEB-25,,Cr,11.00,a4e100d1-3b6f-4193-876a-c754f1a74552-0000332d
O-tec,Surat,2025-04,journal,01/04/2025,SHUKAN DIGITAL,Journal,a4e100d1-3b6f-4193-876a-c754f1a74552-0001dace,TCS_MAR-25,,Cr,7.00,a4e100d1-3b6f-4193-876a-c754f1a74552-0000332d
O-tec,Surat,2025-04,journal,01/04/2025,POOJA ENTERPRISES-SALES,Journal,a4e100d1-3b6f-4193-876a-c754f1a74552-0001dd4a,SPARE/24-25/1786,,Cr,43070.00,a4e100d1-3b6f-4193-876a-c754f1a74552-000010ef
O-tec,Surat,2025-04,journal,01/04/2025,ACCRUED REVENUE,Journal,a4e100d1-3b6f-4193-876a-c754f1a74552-0001f4bb,,BEING ACCURED REVENUE REVERSED,Cr,2534400.00,a4e100d1-3b6f-4193-876a-c754f1a74552-000075d9
