Company,Location,Month,Type,Date,Particulars,Voucher Type,Voucher No.,Against Sales Invoice no.,Quantity,Rate,Value,Gross Total,ledger_id
O-tec,Surat,2025-04,credit note,05/04/2025,CHANDRIKA DIGITAL,GST CREDIT NOTE,CN/1/25-26,,,,,177.00,a4e100d1-3b6f-4193-876a-c754f1a74552-00000af9
O-tec,Surat,2025-04,credit note,05/04/2025,K3 FABRIC HUB  PVT LTD,GST CREDIT NOTE,CN/2/25-26,SPARE/24-25/2343,,,,9158.00,a4e100d1-3b6f-4193-876a-c754f1a74552-00000e4e
O-tec,Surat,2025-04,credit note,05/04/2025,K3 FABRIC HUB  PVT LTD,GST CREDIT NOTE,CN/3/25-26,HAND/24-25/211,,,,11800.00,a4e100d1-3b6f-4193-876a-c754f1a74552-00000e4e
O-tec,Surat,2025-04,credit note,09/04/2025,SHALEEN SILK MILLS,GST CREDIT NOTE,CN/4/25-26,,,,,17117.00,a4e100d1-3b6f-4193-876a-c754f1a74552-000012b6
O-tec,Surat,2025-04,credit note,09/04/2025,SHALEEN SILK MILLS,GST CREDIT NOTE,CN/5/25-26,INK/24-25/4042,,,,14750.00,a4e100d1-3b6f-4193-876a-c754f1a74552-000012b6
O-tec,Surat,2025-04,credit note,09/04/2025,SHALEEN SILK MILLS,GST CREDIT NOTE,CN/6/25-26,INK/24-25/3924,,,,19256.00,a4e100d1-3b6f-4193-876a-c754f1a74552-000012b6
O-tec,Surat,2025-04,credit note,09/04/2025,SHALEEN SILK MILLS,GST CREDIT NOTE,CN/7/25-26,INK/24-25/5355,,,,6815.00,a4e100d1-3b6f-4193-876a-c754f1a74552-000012b6
O-tec,Surat,2025-04,credit note,12/04/2025,SWASTIK VALUE ADDITION PVT LTD,GST CREDIT NOTE,CN/8/25-26,,,,,30533.00,a4e100d1-3b6f-4193-876a-c754f1a74552-000013e1
O-tec,Surat,2025-04,credit note,15/04/2025,VEEKAY PRINTS PVT.LTD.,GST CREDIT NOTE,CN/9/25-26,PAPER/028/25-26,,,,1475.00,a4e100d1-3b6f-4193-876a-c754f1a74552-000014d4
O-tec,Surat,2025-04,credit note,17/04/2025,RIDTZ FASHION,GST CREDIT NOTE,CN/10/25-26,INK/24-25/7319,,,,42185.00,a4e100d1-3b6f-4193-876a-c754f1a74552-000011eb
O-tec,Surat,2025-04,credit note,17/04/2025,RIDTZ FASHION,GST CREDIT NOTE,CN/11/25-26,,,,,47200.00,a4e100d1-3b6f-4193-876a-c754f1a74552-000011eb
O-tec,Surat,2025-04,credit note,17/04/2025,RIDTZ FASHION,GST CREDIT NOTE,CN/12/25-26,,,,,22491.00,a4e100d1-3b6f-4193-876a-c754f1a74552-000011eb
