Company,Location,Month,Date,Particulars,Voucher Type,Voucher No.,Bill Ref Name,Bill Type,Bill Amount,Credit Period,Due Date,ledger_id
O-tec,Surat,2025-04,01/04/2025,ORANGE O TEC ENTERPRISES PRIVATE LIMITED-NOIDA (S),GST SALES - HEAD,HEAD/25-26/1,HEAD/25-26/1,New Ref,413000.00,0 Days,01/04/2025,a4e100d1-3b6f-4193-876a-c754f1a74552-00003183
O-tec,Surat,2025-04,01/04/2025,SHREE NANDESHWAR PROCESSORS PRIVATE LIMITED,GST SALES - HEAD,HEAD/25-26/3,HEAD/25-26/3,New Ref,2006000.00,7 Days,08/04/2025,a4e100d1-3b6f-4193-876a-c754f1a74552-00003859
O-tec,Surat,2025-04,03/04/2025,K3 FABRIC HUB  PVT LTD,GST SALES - HEAD,HEAD/25-26/4,HEAD/25-26/4,New Ref,289100.00,7 Days,10/04/2025,a4e100d1-3b6f-4193-876a-c754f1a74552-00000e4e
O-tec,Surat,2025-04,04/04/2025,ORANGE O TEC ENTERPRISES PRIVATE LIMITED-NOIDA (S),GST SALES - HEAD,HEAD/25-26/5,HEAD/25-26/5,New Ref,413000.00,0 Days,04/04/2025,a4e100d1-3b6f-4193-876a-c754f1a74552-00003183
O-tec,Surat,2025-04,08/04/2025,BHAVIN TEXTILES,GST SALES - HEAD,HEAD/25-26/6,HEAD/25-26/6,New Ref,289100.00,7 Days,15/04/2025,a4e100d1-3b6f-4193-876a-c754f1a74552-00000a8e
O-tec,Surat,2025-04,08/04/2025,INDOCOUNT INDUSTRIES LTD,GST SALES - HEAD,HEAD/25-26/7,HEAD/25-26/7,New Ref,814200.00,7 Days,15/04/2025,a4e100d1-3b6f-4193-876a-c754f1a74552-00000da5
O-tec,Surat,2025-04,10/04/2025,VAISHALI SILK MILLS PVT LTD,GST SALES - HEAD,HEAD/25-26/8,HEAD/25-26/8,New Ref,531000.00,1 Days,11/04/2025,a4e100d1-3b6f-4193-876a-c754f1a74552-000014b4
O-tec,Surat,2025-04,10/04/2025,ORANGE O TEC PRIVATE LIMITED(NOIDA),GST SALES - HEAD,HEAD/25-26/9,HEAD/25-26/9,New Ref,507400.00,0 Days,10/04/2025,a4e100d1-3b6f-4193-876a-c754f1a74552-0000107f
O-tec,Surat,2025-04,11/04/2025,PANORAMMA PRINT,GST SALES - HEAD,HEAD/25-26/10,HEAD/25-26/10,New Ref,289100.00,30 Days,11/05/2025,a4e100d1-3b6f-4193-876a-c754f1a74552-000010ab
O-tec,Surat,2025-04,12/04/2025,V D ENTERPRISE,GST SALES - HEAD,HEAD/25-26/11,TX/HEAD/25-26/11,New Ref,413000.00,7 Days,19/04/2025,a4e100d1-3b6f-4193-876a-c754f1a74552-0000397e
O-tec,Surat,2025-04,12/04/2025,SHRUTI FASHIONS PVT. LTD.,GST SALES - HEAD,HEAD/25-26/12,HEAD/25-26/12,New Ref,289100.00,7 Days,19/04/2025,a4e100d1-3b6f-4193-876a-c754f1a74552-00001338
O-tec,Surat,2025-04,12/04/2025,K3 FABRIC HUB  PVT LTD,GST SALES - HEAD,HEAD/25-26/13,HEAD/25-26/13,New Ref,289100.00,7 Days,19/04/2025,a4e100d1-3b6f-4193-876a-c754f1a74552-00000e4e
O-tec,Surat,2025-04,17/04/2025,BHAVIN TEXTILES,GST SALES - HEAD,HEAD/25-26/15,HEAD/25-26/15,New Ref,578200.00,7 Days,24/04/2025,a4e100d1-3b6f-4193-876a-c754f1a74552-00000a8e
O-tec,Surat,2025-04,19/04/2025,ORANGE O TEC ENTERPRISES PVT LTD-SALE,GST SALES - HEAD,HEAD/25-26/17,HEAD/25-26/17,New Ref,1321600.00,0 Days,19/04/2025,a4e100d1-3b6f-4193-876a-c754f1a74552-00003972
O-tec,Surat,2025-04,19/04/2025,BHOLE NATH HOSIERY MILLS-MACHINE,GST SALES - HEAD,HEAD/25-26/18,HEAD/25-26/18,Agst Ref,76700.00,,,a4e100d1-3b6f-4193-876a-c754f1a74552-00000a93
O-tec,Surat,2025-04,19/04/2025,SHREE NANDESHWAR PROCESSORS PRIVATE LIMITED,GST SALES - HEAD,HEAD/25-26/19,HEAD/25-26/19,New Ref,1062000.00,7 Days,26/04/2025,a4e100d1-3b6f-4193-876a-c754f1a74552-00003859
O-tec,Surat,2025-04,22/04/2025,ORANGE O TEC ENTERPRISES PRIVATE LIMITED-NOIDA (S),GST SALES - HEAD,HEAD/25-26/20,HEAD/25-26/20,New Ref,1652000.00,0 Days,22/04/2025,a4e100d1-3b6f-4193-876a-c754f1a74552-00003183
O-tec,Surat,2025-04,25/04/2025,SREE KANAGA DURGAA TEXTILE,GST SALES - HEAD,HEAD/25-26/21,HEAD/25-26/21,New Ref,614544.00,0 Days,25/04/2025,a4e100d1-3b6f-4193-876a-c754f1a74552-0000138b
O-tec,Surat,2025-04,26/04/2025,ORANGE O TEC ENTERPRISES PVT LTD-SALE,GST SALES - HEAD,HEAD/25-26/23,HEAD/25-26/23,New Ref,1321600.00,0 Days,26/04/2025,a4e100d1-3b6f-4193-876a-c754f1a74552-00003972
O-tec,Surat,2025-04,28/04/2025,JAY INDUSTRIAL CHEMICALS PVT LTD,GST SALES - HEAD,HEAD/25-26/24,MS/HEAD/25-26/24,New Ref,522327.00,7 Days,05/05/2025,a4e100d1-3b6f-4193-876a-c754f1a74552-00000e18
O-tec,Surat,2025-04,28/04/2025,JAY INDUSTRIAL CHEMICALS PVT LTD,GST SALES - HEAD,HEAD/25-26/25,MS/HEAD/25-26/25,New Ref,260780.00,7 Days,05/05/2025,a4e100d1-3b6f-4193-876a-c754f1a74552-00000e18
