Company,Location,Month,Type,Date,Particulars,Voucher Type,Voucher No.,GSTIN/UIN,Quantity,Rate,Unit,Value,Gross Total,ledger_id
O-tec,Surat,2025-04,GST SALES,01/04/2025,ORANGE O TEC ENTERPRISES PRIVATE LIMITED-NOIDA (S),GST SALES - HEAD,HEAD/25-26/1,09AAECO3423C1ZT,2.0000,175000.00,PCS,350000.00,413000.00,a4e100d1-3b6f-4193-876a-c754f1a74552-00003183
O-tec,Surat,2025-04,GST SALES,01/04/2025,SHREE NANDESHWAR PROCESSORS PRIVATE LIMITED,GST SALES - HEAD,HEAD/25-26/3,24AABCR1036R1Z9,10.0000,170000.00,PCS,1700000.00,2006000.00,a4e100d1-3b6f-4193-876a-c754f1a74552-00003859
O-tec,Surat,2025-04,GST SALES,03/04/2025,K3 FABRIC HUB  PVT LTD,GST SALES - HEAD,HEAD/25-26/4,24AAJCK5944R1ZR,1.0000,245000.00,PCS,245000.00,289100.00,a4e100d1-3b6f-4193-876a-c754f1a74552-00000e4e
O-tec,Surat,2025-04,GST SALES,04/04/2025,ORANGE O TEC ENTERPRISES PRIVATE LIMITED-NOIDA (S),GST SALES - HEAD,HEAD/25-26/5,09AAECO3423C1ZT,2.0000,175000.00,PCS,350000.00,413000.00,a4e100d1-3b6f-4193-876a-c754f1a74552-00003183
O-tec,Surat,2025-04,GST SALES,08/04/2025,BHAVIN TEXTILES,GST SALES - HEAD,HEAD/25-26/6,24AAHFB8007D1ZX,1.0000,245000.00,PCS,245000.00,289100.00,a4e100d1-3b6f-4193-876a-c754f1a74552-00000a8e
O-tec,Surat,2025-04,GST SALES,08/04/2025,INDOCOUNT INDUSTRIES LTD,GST SALES - HEAD,HEAD/25-26/7,27AAACI0866P1Z5,3.0000,230000.00,PCS,690000.00,814200.00,a4e100d1-3b6f-4193-876a-c754f1a74552-00000da5
O-tec,Surat,2025-04,GST SALES,10/04/2025,VAISHALI SILK MILLS PVT LTD,GST SALES - HEAD,HEAD/25-26/8,24AABCA9573G1ZN,2.0000,225000.00,PCS,450000.00,531000.00,a4e100d1-3b6f-4193-876a-c754f1a74552-000014b4
O-tec,Surat,2025-04,GST SALES,10/04/2025,ORANGE O TEC PRIVATE LIMITED(NOIDA),GST SALES - HEAD,HEAD/25-26/9,09AAHCM0016A1Z5,2.0000,215000.00,PCS,430000.00,507400.00,a4e100d1-3b6f-4193-876a-c754f1a74552-0000107f
O-tec,Surat,2025-04,GST SALES,11/04/2025,PANORAMMA PRINT,GST SALES - HEAD,HEAD/25-26/10,24AAQFP6372A1Z8,1.0000,245000.00,PCS,245000.00,289100.00,a4e100d1-3b6f-4193-876a-c754f1a74552-000010ab
O-tec,Surat,2025-04,GST SALES,12/04/2025,V D ENTERPRISE,GST SALES - HEAD,HEAD/25-26/11,24DEFPP4450F1ZM,2.0000,175000.00,PCS,350000.00,413000.00,a4e100d1-3b6f-4193-876a-c754f1a74552-0000397e
O-tec,Surat,2025-04,GST SALES,12/04/2025,SHRUTI FASHIONS PVT. LTD.,GST SALES - HEAD,HEAD/25-26/12,24AAHCS9273K1ZT,1.0000,245000.00,PCS,245000.00,289100.00,a4e100d1-3b6f-4193-876a-c754f1a74552-00001338
O-tec,Surat,2025-04,GST SALES,12/04/2025,K3 FABRIC HUB  PVT LTD,GST SALES - HEAD,HEAD/25-26/13,24AAJCK5944R1ZR,1.0000,245000.00,PCS,245000.00,289100.00,a4e100d1-3b6f-4193-876a-c754f1a74552-00000e4e
O-tec,Surat,2025-04,GST SALES,17/04/2025,BHAVIN TEXTILES,GST SALES - HEAD,HEAD/25-26/15,24AAHFB8007D1ZX,2.0000,245000.00,PCS,490000.00,578200.00,a4e100d1-3b6f-4193-876a-c754f1a74552-00000a8e
O-tec,Surat,2025-04,GST SALES,19/04/2025,ORANGE O TEC ENTERPRISES PVT LTD-SALE,GST SALES - HEAD,HEAD/25-26/17,24AAECO3423C1Z1,8.0000,140000.00,PCS,1120000.00,1321600.00,a4e100d1-3b6f-4193-876a-c754f1a74552-00003972
O-tec,Surat,2025-04,GST SALES,19/04/2025,BHOLE NATH HOSIERY MILLS-MACHINE,GST SALES - HEAD,HEAD/25-26/18,03BDCPM6096E1ZO,1.0000,65000.00,PCS,65000.00,76700.00,a4e100d1-3b6f-4193-876a-c754f1a74552-00000a93
O-tec,Surat,2025-04,GST SALES,19/04/2025,SHREE NANDESHWAR PROCESSORS PRIVATE LIMITED,GST SALES - HEAD,HEAD/25-26/19,24AABCR1036R1Z9,4.0000,225000.00,PCS,900000.00,1062000.00,a4e100d1-3b6f-4193-876a-c754f1a74552-00003859
O-tec,Surat,2025-04,GST SALES,22/04/2025,ORANGE O TEC ENTERPRISES PRIVATE LIMITED-NOIDA (S),GST SALES - HEAD,HEAD/25-26/20,09AAECO3423C1ZT,8.0000,175000.00,PCS,1400000.00,1652000.00,a4e100d1-3b6f-4193-876a-c754f1a74552-00003183
O-tec,Surat,2025-04,GST SALES,25/04/2025,SREE KANAGA DURGAA TEXTILE,GST SALES - HEAD,HEAD/25-26/21,33ACAPD5285E1Z2,8.0000,65000.00,PCS,520000.00,614544.00,a4e100d1-3b6f-4193-876a-c754f1a74552-0000138b
O-tec,Surat,2025-04,GST SALES,26/04/2025,ORANGE O TEC ENTERPRISES PVT LTD-SALE,GST SALES - HEAD,HEAD/25-26/23,24AAECO3423C1Z1,8.0000,140000.00,PCS,1120000.00,1321600.00,a4e100d1-3b6f-4193-876a-c754f1a74552-00003972
